time,temperature_2m (°C),relative_humidity_2m (%),cloud_cover (%),rain (mm),wind_speed_10m (km/h)
2020-11-02T15:00,29.1,15,0,0.00,17.7
2020-11-02T16:00,28.1,16,0,0.00,13.5
2020-11-02T17:00,23.5,27,0,0.00,9.4
2020-11-02T18:00,22.0,31,0,0.00,10.5
2020-11-02T19:00,20.5,36,0,0.00,11.4
2020-11-02T20:00,23.4,29,0,0.00,6.3
2020-11-02T21:00,23.6,28,0,0.00,1.8
2020-11-02T22:00,24.1,25,0,0.00,3.5
2020-11-02T23:00,24.6,23,0,0.00,6.9
2020-11-03T00:00,19.8,30,0,0.00,6.9
2020-11-03T01:00,17.6,35,0,0.00,7.6
2020-11-03T02:00,16.0,38,0,0.00,8.2
2020-11-03T03:00,15.4,41,0,0.00,9.7
2020-11-03T04:00,14.6,44,0,0.00,9.2
2020-11-03T05:00,13.4,54,0,0.00,7.3
2020-11-03T06:00,12.8,57,0,0.00,6.5
2020-11-03T07:00,14.9,52,0,0.00,6.8
2020-11-03T08:00,19.4,40,0,0.00,5.8
2020-11-03T09:00,24.0,29,0,0.00,5.2
2020-11-03T10:00,26.8,23,0,0.00,5.6
2020-11-03T11:00,28.4,19,0,0.00,6.4
2020-11-03T12:00,29.4,16,0,0.00,7.4
2020-11-03T13:00,29.6,15,0,0.00,9.4
2020-11-03T14:00,29.5,14,0,0.00,11.5
2020-11-03T15:00,28.9,15,0,0.00,12.0
2020-11-03T16:00,27.8,17,0,0.00,7.9
2020-11-03T17:00,25.3,25,0,0.00,6.1
2020-11-03T18:00,26.1,23,0,0.00,4.3
2020-11-03T19:00,21.0,37,0,0.00,10.1
2020-11-03T20:00,22.5,34,0,0.00,8.1
2020-11-03T21:00,22.6,33,0,0.00,3.1
2020-11-03T22:00,19.9,38,0,0.00,3.9
2020-11-03T23:00,19.0,39,0,0.00,5.1
2020-11-04T00:00,18.6,38,0,0.00,5.2
2020-11-04T01:00,17.1,41,0,0.00,5.4
2020-11-04T02:00,17.1,41,0,0.00,7.6
2020-11-04T03:00,15.8,46,0,0.00,9.8
2020-11-04T04:00,15.3,47,0,0.00,9.3
2020-11-04T05:00,14.4,54,0,0.00,9.8
2020-11-04T06:00,13.8,56,0,0.00,10.0
2020-11-04T07:00,14.8,52,0,0.00,10.1
2020-11-04T08:00,18.3,43,0,0.00,8.2
2020-11-04T09:00,22.5,35,0,0.00,6.2
2020-11-04T10:00,25.7,29,0,0.00,7.7
2020-11-04T11:00,27.4,26,0,0.00,9.6
2020-11-04T12:00,28.5,26,0,0.00,11.3
2020-11-04T13:00,28.9,27,0,0.00,13.2
2020-11-04T14:00,29.0,26,0,0.00,13.4
2020-11-04T15:00,29.0,25,0,0.00,13.2
2020-11-04T16:00,28.2,26,0,0.00,10.3
2020-11-04T17:00,24.2,37,0,0.00,8.2
2020-11-04T18:00,22.8,41,0,0.00,9.1
2020-11-04T19:00,21.8,42,0,0.00,9.7
2020-11-04T20:00,21.5,41,0,0.00,8.0
2020-11-04T21:00,20.9,42,0,0.00,9.2
2020-11-04T22:00,19.8,45,0,0.00,8.7
2020-11-04T23:00,18.0,50,0,0.00,7.6
2020-11-05T00:00,17.0,54,0,0.00,8.4
2020-11-05T01:00,16.5,54,0,0.00,8.6
2020-11-05T02:00,16.5,52,0,0.00,8.6
2020-11-05T03:00,15.9,53,0,0.00,10.2
2020-11-05T04:00,16.4,49,0,0.00,6.5
2020-11-05T05:00,15.1,63,0,0.00,9.2
2020-11-05T06:00,14.6,65,0,0.00,9.1
2020-11-05T07:00,15.8,61,0,0.00,10.1
2020-11-05T08:00,19.4,49,0,0.00,7.9
2020-11-05T09:00,23.3,39,0,0.00,6.5
2020-11-05T10:00,26.4,32,0,0.00,7.3
2020-11-05T11:00,28.2,28,0,0.00,7.8
2020-11-05T12:00,29.4,24,0,0.00,9.0
2020-11-05T13:00,30.0,21,0,0.00,9.9
2020-11-05T14:00,30.1,19,0,0.00,10.0
2020-11-05T15:00,29.7,20,0,0.00,9.9
2020-11-05T16:00,28.5,23,0,0.00,7.6
2020-11-05T17:00,24.0,38,0,0.00,8.7
2020-11-05T18:00,25.6,32,0,0.00,5.2
2020-11-05T19:00,24.9,35,0,0.00,5.9
2020-11-05T20:00,25.0,35,0,0.00,6.1
2020-11-05T21:00,23.4,39,0,0.00,7.8
2020-11-05T22:00,23.7,37,0,0.00,7.9
2020-11-05T23:00,23.6,36,0,0.00,4.3
2020-11-06T00:00,20.5,41,0,0.00,5.0
2020-11-06T01:00,17.9,48,0,0.00,7.3
2020-11-06T02:00,17.0,50,0,0.00,8.6
2020-11-06T03:00,16.0,53,0,0.00,8.9
2020-11-06T04:00,15.2,56,0,0.00,9.0
2020-11-06T05:00,13.4,76,0,0.00,8.9
2020-11-06T06:00,13.4,76,0,0.00,8.0
2020-11-06T07:00,15.9,65,0,0.00,7.6
2020-11-06T08:00,19.8,50,0,0.00,7.9
2020-11-06T09:00,23.9,39,0,0.00,6.9
2020-11-06T10:00,27.0,32,0,0.00,6.8
2020-11-06T11:00,28.8,27,0,0.00,7.4
2020-11-06T12:00,29.9,23,0,0.00,9.3
2020-11-06T13:00,30.2,21,0,0.00,10.6
2020-11-06T14:00,30.2,21,0,0.00,10.9
2020-11-06T15:00,30.0,21,0,0.00,10.2
2020-11-06T16:00,29.0,22,0,0.00,6.5
2020-11-06T17:00,23.8,34,0,0.00,10.3
2020-11-06T18:00,22.5,40,0,0.00,10.5
2020-11-06T19:00,21.7,40,0,0.00,9.4
2020-11-06T20:00,20.8,40,0,0.00,9.3
2020-11-06T21:00,20.0,40,0,0.00,10.3
2020-11-06T22:00,20.0,39,0,0.00,9.0
2020-11-06T23:00,19.5,40,0,0.00,8.2
2020-11-07T00:00,18.1,45,0,0.00,8.4
2020-11-07T01:00,16.8,49,0,0.00,7.7
2020-11-07T02:00,16.5,49,0,0.00,7.3
2020-11-07T03:00,16.0,51,0,0.00,9.3
2020-11-07T04:00,15.6,54,0,0.00,8.8
2020-11-07T05:00,14.5,68,0,0.00,8.8
2020-11-07T06:00,14.1,70,0,0.00,8.8
2020-11-07T07:00,15.6,64,0,0.00,10.5
2020-11-07T08:00,19.5,50,0,0.00,8.7
2020-11-07T09:00,23.2,40,0,0.00,8.7
2020-11-07T10:00,25.9,34,0,0.00,10.2
2020-11-07T11:00,27.6,30,0,0.00,11.4
2020-11-07T12:00,28.7,27,0,0.00,13.2
2020-11-07T13:00,29.2,25,0,0.00,14.8
2020-11-07T14:00,29.5,23,0,0.00,15.1
2020-11-07T15:00,29.4,21,0,0.00,14.5
2020-11-07T16:00,28.2,23,0,0.00,10.5
2020-11-07T17:00,23.5,37,0,0.00,9.0
2020-11-07T18:00,22.2,41,0,0.00,9.7
2020-11-07T19:00,20.9,44,0,0.00,11.9
2020-11-07T20:00,20.2,43,0,0.00,11.4
2020-11-07T21:00,19.6,44,0,0.00,11.2
2020-11-07T22:00,18.8,45,0,0.00,9.7
2020-11-07T23:00,18.9,44,0,0.00,7.4
2020-11-08T00:00,17.6,49,0,0.00,7.2
2020-11-08T01:00,16.6,54,0,0.00,7.6
2020-11-08T02:00,15.8,57,0,0.00,6.8
2020-11-08T03:00,15.3,59,0,0.00,6.5
2020-11-08T04:00,15.2,59,0,0.00,7.6
2020-11-08T05:00,13.7,70,0,0.00,4.7
2020-11-08T06:00,12.6,75,0,0.00,5.0
2020-11-08T07:00,15.1,64,0,0.00,2.5
2020-11-08T08:00,19.2,51,0,0.00,2.5
2020-11-08T09:00,23.0,41,0,0.00,1.1
2020-11-08T10:00,25.8,34,0,0.00,0.7
2020-11-08T11:00,27.5,29,0,0.00,2.3
2020-11-08T12:00,28.6,25,0,0.00,5.9
2020-11-08T13:00,29.1,23,0,0.00,7.9
2020-11-08T14:00,29.2,23,0,0.00,8.2
2020-11-08T15:00,28.9,24,0,0.00,7.4
2020-11-08T16:00,28.0,27,0,0.00,4.9
2020-11-08T17:00,26.3,33,0,0.00,5.2
2020-11-08T18:00,25.0,37,0,0.00,4.0
2020-11-08T19:00,24.1,40,0,0.00,4.5
2020-11-08T20:00,22.8,44,0,0.00,7.2
2020-11-08T21:00,20.1,52,0,0.00,8.1
2020-11-08T22:00,18.2,60,0,0.00,8.9
2020-11-08T23:00,17.8,62,0,0.00,8.1
2020-11-09T00:00,17.8,63,0,0.00,6.9
2020-11-09T01:00,18.5,60,0,0.00,6.0
2020-11-09T02:00,18.9,60,0,0.00,5.5
2020-11-09T03:00,15.6,73,0,0.00,4.0
2020-11-09T04:00,14.4,72,0,0.00,6.0
2020-11-09T05:00,14.7,78,0,0.00,2.9
2020-11-09T06:00,12.7,85,0,0.00,5.4
2020-11-09T07:00,14.9,73,0,0.00,5.4
2020-11-09T08:00,18.7,60,0,0.00,5.9
2020-11-09T09:00,22.5,49,0,0.00,3.9
2020-11-09T10:00,25.2,39,0,0.00,3.1
2020-11-09T11:00,27.0,33,0,0.00,4.8
2020-11-09T12:00,28.1,29,0,0.00,7.3
2020-11-09T13:00,28.6,27,0,0.00,9.3
2020-11-09T14:00,28.6,27,0,0.00,9.9
2020-11-09T15:00,28.4,27,0,0.00,9.7
2020-11-09T16:00,27.5,28,0,0.00,7.7
2020-11-09T17:00,22.9,42,0,0.00,8.7
2020-11-09T18:00,21.5,49,0,0.00,9.0
2020-11-09T19:00,20.5,52,0,0.00,8.0
2020-11-09T20:00,18.7,58,0,0.00,11.1
2020-11-09T21:00,18.5,59,0,0.00,10.6
2020-11-09T22:00,19.0,57,0,0.00,9.6
2020-11-09T23:00,19.5,55,0,0.00,8.8
2020-11-10T00:00,18.5,60,0,0.00,8.4
2020-11-10T01:00,19.0,59,0,0.00,6.9
2020-11-10T02:00,18.5,61,3,0.00,5.4
2020-11-10T03:00,18.0,63,0,0.00,3.6
2020-11-10T04:00,17.2,67,0,0.00,4.2
2020-11-10T05:00,16.1,79,0,0.00,1.6
2020-11-10T06:00,15.8,80,5,0.00,0.7
2020-11-10T07:00,15.2,84,39,0.00,0.4
2020-11-10T08:00,18.1,71,29,0.00,0.7
2020-11-10T09:00,21.4,59,24,0.00,2.3
2020-11-10T10:00,24.0,50,0,0.00,4.7
2020-11-10T11:00,25.9,43,15,0.00,6.1
2020-11-10T12:00,27.0,38,4,0.00,7.6
2020-11-10T13:00,27.6,34,6,0.00,9.0
2020-11-10T14:00,27.7,35,0,0.00,10.5
2020-11-10T15:00,27.4,36,0,0.00,10.5
2020-11-10T16:00,26.8,38,0,0.00,8.6
2020-11-10T17:00,23.1,48,0,0.00,8.7
2020-11-10T18:00,22.1,51,0,0.00,6.9
2020-11-10T19:00,21.4,53,0,0.00,8.3
2020-11-10T20:00,20.4,58,0,0.00,7.9
2020-11-10T21:00,19.1,65,0,0.00,6.7
2020-11-10T22:00,18.1,71,0,0.00,7.9
2020-11-10T23:00,17.9,73,0,0.00,7.2
2020-11-11T00:00,17.1,76,0,0.00,7.3
2020-11-11T01:00,16.5,80,0,0.00,6.7
2020-11-11T02:00,16.1,81,0,0.00,6.9
2020-11-11T03:00,15.6,84,1,0.00,6.6
2020-11-11T04:00,15.1,86,1,0.00,6.9
2020-11-11T05:00,14.6,93,1,0.00,6.2
2020-11-11T06:00,14.5,94,0,0.00,6.2
2020-11-11T07:00,15.9,88,0,0.00,8.7
2020-11-11T08:00,19.1,73,0,0.00,6.9
2020-11-11T09:00,22.6,56,0,0.00,7.2
2020-11-11T10:00,25.0,46,0,0.00,7.6
2020-11-11T11:00,26.5,40,2,0.00,6.8
2020-11-11T12:00,27.2,36,5,0.00,6.9
2020-11-11T13:00,27.6,34,1,0.00,7.8
2020-11-11T14:00,27.7,32,0,0.00,8.9
2020-11-11T15:00,27.4,33,0,0.00,8.9
2020-11-11T16:00,26.6,34,0,0.00,8.8
2020-11-11T17:00,23.1,46,0,0.00,7.6
2020-11-11T18:00,21.8,52,0,0.00,9.2
2020-11-11T19:00,20.6,59,0,0.00,9.2
2020-11-11T20:00,20.2,61,0,0.00,7.7
2020-11-11T21:00,18.9,65,0,0.00,6.9
2020-11-11T22:00,17.8,70,0,0.00,8.8
2020-11-11T23:00,17.0,74,0,0.00,10.8
2020-11-12T00:00,16.9,71,0,0.00,11.3
2020-11-12T01:00,16.6,73,0,0.00,9.8
2020-11-12T02:00,15.8,80,0,0.00,7.3
2020-11-12T03:00,14.9,85,0,0.00,9.6
2020-11-12T04:00,15.4,82,0,0.00,8.4
2020-11-12T05:00,13.9,92,0,0.00,8.7
2020-11-12T06:00,14.3,89,1,0.00,7.6
2020-11-12T07:00,15.2,89,0,0.00,4.6
2020-11-12T08:00,18.5,71,1,0.00,2.8
2020-11-12T09:00,22.1,58,1,0.00,3.9
2020-11-12T10:00,24.8,46,11,0.00,4.9
2020-11-12T11:00,26.2,38,66,0.00,3.4
2020-11-12T12:00,27.0,35,60,0.00,3.3
2020-11-12T13:00,27.2,33,6,0.00,4.7
2020-11-12T14:00,27.2,33,6,0.00,6.1
2020-11-12T15:00,27.0,34,11,0.00,6.7
2020-11-12T16:00,26.1,35,16,0.00,8.4
2020-11-12T17:00,23.1,44,22,0.00,6.1
2020-11-12T18:00,21.2,53,16,0.00,7.9
2020-11-12T19:00,22.2,50,10,0.00,5.2
2020-11-12T20:00,22.6,48,1,0.00,2.3
2020-11-12T21:00,20.6,54,1,0.00,4.0
2020-11-12T22:00,22.0,48,0,0.00,2.3
2020-11-12T23:00,21.8,48,0,0.00,2.9
2020-11-13T00:00,20.1,54,0,0.00,6.3
2020-11-13T01:00,17.4,69,0,0.00,7.0
2020-11-13T02:00,18.3,65,0,0.00,3.0
2020-11-13T03:00,18.7,60,0,0.00,1.6
2020-11-13T04:00,18.8,58,0,0.00,0.8
2020-11-13T05:00,15.1,79,0,0.00,5.5
2020-11-13T06:00,13.4,86,0,0.00,7.1
2020-11-13T07:00,15.0,78,0,0.00,6.9
2020-11-13T08:00,18.3,65,0,0.00,5.4
2020-11-13T09:00,21.8,52,0,0.00,4.6
2020-11-13T10:00,24.4,43,0,0.00,5.6
2020-11-13T11:00,26.0,37,0,0.00,5.4
2020-11-13T12:00,26.6,35,0,0.00,3.9
2020-11-13T13:00,27.0,34,0,0.00,3.6
2020-11-13T14:00,27.1,33,0,0.00,4.4
2020-11-13T15:00,26.9,33,0,0.00,5.2
2020-11-13T16:00,26.2,34,0,0.00,5.1
2020-11-13T17:00,24.9,38,0,0.00,3.6
2020-11-13T18:00,21.7,48,0,0.00,6.0
2020-11-13T19:00,20.0,53,0,0.00,7.1
2020-11-13T20:00,22.5,44,0,0.00,3.5
2020-11-13T21:00,19.4,54,0,0.00,5.6
2020-11-13T22:00,17.7,60,0,0.00,8.1
2020-11-13T23:00,17.5,61,0,0.00,6.9
2020-11-14T00:00,17.2,62,0,0.00,8.0
2020-11-14T01:00,17.1,62,0,0.00,7.8
2020-11-14T02:00,16.6,65,0,0.00,8.4
2020-11-14T03:00,15.3,71,0,0.00,9.0
2020-11-14T04:00,14.9,73,0,0.00,8.7
2020-11-14T05:00,14.6,77,0,0.00,6.4
2020-11-14T06:00,14.2,79,0,0.00,5.9
2020-11-14T07:00,14.6,78,0,0.00,8.0
2020-11-14T08:00,17.8,65,5,0.00,5.5
2020-11-14T09:00,21.5,52,2,0.00,4.4
2020-11-14T10:00,24.4,42,55,0.00,3.6
2020-11-14T11:00,26.1,37,86,0.00,2.4
2020-11-14T12:00,27.1,33,76,0.00,2.3
2020-11-14T13:00,27.6,31,57,0.00,2.2
2020-11-14T14:00,27.9,30,11,0.00,2.5
2020-11-14T15:00,27.6,30,0,0.00,3.2
2020-11-14T16:00,26.9,32,0,0.00,3.4
2020-11-14T17:00,23.0,42,2,0.00,6.4
2020-11-14T18:00,21.2,50,34,0.00,8.0
2020-11-14T19:00,20.1,55,51,0.00,9.1
2020-11-14T20:00,19.4,59,82,0.00,8.0
2020-11-14T21:00,18.7,62,89,0.00,8.0
2020-11-14T22:00,18.5,61,87,0.00,7.9
2020-11-14T23:00,18.4,60,60,0.00,7.4
2020-11-15T00:00,17.8,62,88,0.00,8.1
2020-11-15T01:00,17.2,63,96,0.00,9.4
2020-11-15T02:00,17.2,63,90,0.00,9.8
2020-11-15T03:00,17.1,64,49,0.00,10.5
2020-11-15T04:00,16.6,66,14,0.00,10.5
2020-11-15T05:00,16.1,72,0,0.00,11.7
2020-11-15T06:00,15.8,74,4,0.00,12.5
2020-11-15T07:00,16.9,69,3,0.00,14.3
2020-11-15T08:00,19.8,56,0,0.00,14.3
2020-11-15T09:00,22.9,45,1,0.00,15.7
2020-11-15T10:00,25.5,38,0,0.00,17.4
2020-11-15T11:00,27.5,34,8,0.00,18.4
2020-11-15T12:00,28.6,33,18,0.00,18.6
2020-11-15T13:00,29.0,33,56,0.00,17.8
2020-11-15T14:00,28.7,34,53,0.00,17.7
2020-11-15T15:00,28.8,33,87,0.00,15.4
2020-11-15T16:00,24.8,55,64,0.20,15.4
2020-11-15T17:00,23.6,60,86,0.00,20.1
2020-11-15T18:00,20.4,81,39,1.20,16.8
2020-11-15T19:00,19.6,83,16,0.80,15.7
2020-11-15T20:00,19.5,81,12,0.00,13.3
2020-11-15T21:00,19.1,83,32,0.00,7.6
2020-11-15T22:00,17.6,91,54,1.60,15.9
2020-11-15T23:00,17.4,92,8,0.40,13.4
2020-11-16T00:00,17.2,92,12,0.00,16.9
2020-11-16T01:00,16.9,91,31,0.10,15.8
2020-11-16T02:00,16.4,91,100,1.20,14.5
2020-11-16T03:00,16.5,90,100,2.40,12.1
2020-11-16T04:00,16.4,92,100,3.00,10.7
2020-11-16T05:00,16.2,92,37,1.00,8.2
2020-11-16T06:00,16.6,91,11,0.00,10.9
2020-11-16T07:00,16.7,90,33,0.00,10.5
2020-11-16T08:00,17.5,86,46,0.40,8.4
2020-11-16T09:00,19.5,77,25,0.00,12.5
2020-11-16T10:00,21.8,63,3,0.00,15.2
2020-11-16T11:00,23.3,56,7,0.00,12.3
2020-11-16T12:00,24.1,53,6,0.00,11.2
2020-11-16T13:00,24.8,50,4,0.00,9.6
2020-11-16T14:00,25.1,49,14,0.00,8.0
2020-11-16T15:00,25.0,49,21,0.00,6.5
2020-11-16T16:00,24.2,52,22,0.00,4.8
2020-11-16T17:00,20.2,86,24,0.00,2.2
2020-11-16T18:00,19.5,91,29,0.00,4.6
2020-11-16T19:00,18.8,93,16,0.00,7.1
2020-11-16T20:00,18.2,93,46,0.10,8.3
2020-11-16T21:00,18.0,91,30,0.00,7.9
2020-11-16T22:00,17.6,91,33,0.00,7.2
2020-11-16T23:00,17.2,91,26,0.00,6.8
2020-11-17T00:00,17.0,92,22,0.00,5.5
2020-11-17T01:00,16.5,92,13,0.00,5.5
2020-11-17T02:00,15.7,93,5,0.00,6.0
2020-11-17T03:00,15.2,93,4,0.00,6.0
2020-11-17T04:00,14.4,94,3,0.00,6.9
2020-11-17T05:00,14.7,95,2,0.00,4.8
2020-11-17T06:00,14.5,95,3,0.00,5.0
2020-11-17T07:00,15.3,92,11,0.00,8.1
2020-11-17T08:00,16.9,84,16,0.00,8.2
2020-11-17T09:00,19.0,74,21,0.00,8.7
2020-11-17T10:00,21.2,64,21,0.00,9.9
2020-11-17T11:00,22.6,59,6,0.00,10.7
2020-11-17T12:00,23.5,56,0,0.00,10.6
2020-11-17T13:00,24.0,53,16,0.00,10.8
2020-11-17T14:00,24.1,49,22,0.00,11.2
2020-11-17T15:00,23.9,46,7,0.00,11.7
2020-11-17T16:00,22.9,48,5,0.00,9.5
2020-11-17T17:00,20.5,62,4,0.00,7.8
2020-11-17T18:00,19.9,63,11,0.00,9.7
2020-11-17T19:00,19.2,64,1,0.00,10.0
2020-11-17T20:00,18.4,68,0,0.00,9.3
2020-11-17T21:00,17.2,73,0,0.00,8.2
2020-11-17T22:00,16.4,76,0,0.00,8.3
2020-11-17T23:00,15.6,79,0,0.00,7.2
2020-11-18T00:00,14.9,82,1,0.00,6.9
2020-11-18T01:00,14.6,82,4,0.00,6.9
2020-11-18T02:00,14.2,84,3,0.00,7.0
2020-11-18T03:00,13.9,86,0,0.00,6.9
2020-11-18T04:00,13.5,88,6,0.00,6.6
2020-11-18T05:00,13.7,92,6,0.00,6.2
2020-11-18T06:00,13.7,92,14,0.00,6.2
2020-11-18T07:00,14.1,89,3,0.00,7.4
2020-11-18T08:00,16.2,79,0,0.00,4.9
2020-11-18T09:00,18.9,67,0,0.00,5.1
2020-11-18T10:00,21.1,54,0,0.00,6.5
2020-11-18T11:00,22.5,48,0,0.00,7.9
2020-11-18T12:00,23.2,46,0,0.00,7.7
2020-11-18T13:00,23.6,45,0,0.00,7.6
2020-11-18T14:00,23.8,44,0,0.00,8.4
2020-11-18T15:00,23.5,45,0,0.00,8.2
2020-11-18T16:00,22.5,49,0,0.00,6.0
2020-11-18T17:00,18.5,64,0,0.00,8.5
2020-11-18T18:00,18.6,63,2,0.00,6.1
2020-11-18T19:00,17.9,64,3,0.00,7.6
2020-11-18T20:00,17.1,64,4,0.00,7.6
2020-11-18T21:00,16.4,67,2,0.00,7.6
2020-11-18T22:00,15.9,68,3,0.00,7.9
2020-11-18T23:00,15.4,69,10,0.00,7.2
2020-11-19T00:00,15.0,72,19,0.00,6.7
2020-11-19T01:00,14.7,74,28,0.00,6.3
2020-11-19T02:00,14.9,73,64,0.00,6.2
2020-11-19T03:00,15.1,72,67,0.00,6.0
2020-11-19T04:00,15.2,72,60,0.00,4.9
2020-11-19T05:00,12.9,87,50,0.00,7.9
2020-11-19T06:00,13.1,87,42,0.00,7.2
2020-11-19T07:00,14.5,80,48,0.00,5.4
2020-11-19T08:00,16.1,72,51,0.00,3.6
2020-11-19T09:00,18.0,65,54,0.00,4.0
2020-11-19T10:00,19.9,56,52,0.00,4.0
2020-11-19T11:00,21.3,49,16,0.00,4.5
2020-11-19T12:00,22.5,46,4,0.00,5.5
2020-11-19T13:00,23.0,44,2,0.00,7.1
2020-11-19T14:00,23.2,44,1,0.00,8.4
2020-11-19T15:00,23.0,44,0,0.00,9.2
2020-11-19T16:00,22.0,47,0,0.00,7.9
2020-11-19T17:00,18.6,55,0,0.00,6.9
2020-11-19T18:00,18.0,56,0,0.00,7.9
2020-11-19T19:00,16.8,55,0,0.00,7.9
2020-11-19T20:00,15.4,58,0,0.00,7.4
2020-11-19T21:00,14.0,66,0,0.00,8.4
2020-11-19T22:00,13.2,70,0,0.00,8.8
2020-11-19T23:00,12.7,73,0,0.00,9.5
2020-11-20T00:00,12.4,75,0,0.00,8.6
2020-11-20T01:00,11.8,77,0,0.00,8.4
2020-11-20T02:00,11.6,76,0,0.00,7.6
2020-11-20T03:00,11.4,74,0,0.00,7.2
2020-11-20T04:00,11.2,73,0,0.00,7.6
2020-11-20T05:00,11.6,76,0,0.00,10.7
2020-11-20T06:00,11.5,76,0,0.00,10.4
2020-11-20T07:00,12.1,74,0,0.00,11.8
2020-11-20T08:00,14.8,65,0,0.00,11.8
2020-11-20T09:00,17.4,55,0,0.00,11.7
2020-11-20T10:00,19.5,48,0,0.00,12.5
2020-11-20T11:00,21.2,42,0,0.00,14.3
2020-11-20T12:00,22.4,38,0,0.00,15.3
2020-11-20T13:00,23.2,35,0,0.00,15.8
2020-11-20T14:00,23.5,33,0,0.00,16.3
2020-11-20T15:00,23.2,33,0,0.00,15.8
2020-11-20T16:00,22.0,38,0,0.00,11.2
2020-11-20T17:00,18.9,52,0,0.00,8.9
2020-11-20T18:00,18.1,53,0,0.00,10.3
2020-11-20T19:00,17.1,55,0,0.00,10.1
2020-11-20T20:00,16.2,57,0,0.00,10.6
2020-11-20T21:00,15.4,59,0,0.00,10.4
2020-11-20T22:00,14.8,60,0,0.00,10.6
2020-11-20T23:00,14.4,59,0,0.00,11.9
2020-11-21T00:00,14.3,58,0,0.00,13.1
2020-11-21T01:00,13.9,57,0,0.00,13.6
2020-11-21T02:00,13.4,58,0,0.00,13.8
2020-11-21T03:00,12.8,60,0,0.00,13.9
2020-11-21T04:00,12.4,61,0,0.00,13.6
2020-11-21T05:00,11.7,69,0,0.00,14.1
2020-11-21T06:00,11.6,71,0,0.00,14.6
2020-11-21T07:00,12.1,70,0,0.00,15.1
2020-11-21T08:00,14.4,63,0,0.00,14.8
2020-11-21T09:00,17.1,54,0,0.00,15.8
2020-11-21T10:00,19.6,45,0,0.00,17.1
2020-11-21T11:00,21.2,40,0,0.00,19.2
2020-11-21T12:00,22.1,37,0,0.00,21.4
2020-11-21T13:00,22.6,33,0,0.00,21.9
2020-11-21T14:00,22.6,32,0,0.00,20.9
2020-11-21T15:00,22.2,32,0,0.00,19.6
2020-11-21T16:00,21.0,36,0,0.00,13.5
2020-11-21T17:00,17.9,47,0,0.00,9.2
2020-11-21T18:00,17.4,47,0,0.00,9.9
2020-11-21T19:00,16.5,50,0,0.00,9.6
2020-11-21T20:00,15.4,53,0,0.00,8.4
2020-11-21T21:00,14.2,58,0,0.00,9.0
2020-11-21T22:00,13.2,63,0,0.00,9.0
2020-11-21T23:00,12.5,66,0,0.00,8.3
2020-11-22T00:00,12.1,68,0,0.00,10.4
2020-11-22T01:00,11.8,69,0,0.00,11.2
2020-11-22T02:00,11.6,69,0,0.00,11.6
2020-11-22T03:00,11.4,67,0,0.00,11.4
2020-11-22T04:00,11.1,67,0,0.00,10.5
2020-11-22T05:00,10.4,72,2,0.00,10.8
2020-11-22T06:00,10.0,73,5,0.00,10.6
2020-11-22T07:00,10.5,73,27,0.00,11.3
2020-11-22T08:00,13.2,64,17,0.00,11.2
2020-11-22T09:00,16.0,55,12,0.00,10.9
